jobid,title,primaryresponsibility,primaryperks,primaryrequirement,datecreated,dateupdated,dateactivated,activestatus,expirydate,company,minexp,maxexp,mincompensation,maxcompensation,numberofdays,additionalcompensation,professions,cities
83,Visual Designer,<ul><li>Work closely with UX designer and Product Managers</li><li>Create hi fidelity designs as per UX specifications</li><li>Define the style guides and maintain unique differences and similarities for anecosystem of apps</li><li>Create and manage family of icons for apps within an ecosystem of apps</li><li>Maintain color consistency as per the branding guidelines.</li></ul>,NULL,"<ul><li>Bachelor’s / Masters’s degree in art, design, or a related field</li><li>1+ years of design experience with Mobile and Web Applications</li><li>Strong in fundamental visual design principles</li><li>Strong sensitivity towards color</li><li>Sensitivity towards typography</li><li>Good communication skills</li><li>Eye for detail</li><li>Good with Adobe suite softwares and Sketch</li></ul>",2/21/2017 11:31,10/6/2017 7:18,NULL,1,10/5/2017 17:12,HaloDoc,24,48,-1,-1,NULL,NULL,UI Design$$$Product Design,Bengaluru
84,Senior UX Designer,"User-experience designers are responsible for creating the look and feel of a specific computer interface. This allows them to navigate the functionality of that interface and produce a certain type of human-computer interaction. These designers generally work on teams, applying their skills to a website or computer product, such as a piece of software. These teams can include different types of designers. 

Interaction designers work primarily with navigation structures and interface functions. Their work is foundational to the site or product being created; every other aspect of the design experience goes on top of their storyboards and mockups for how the design will actually work. The interaction designer is the member of the team that spends the most time with user research, testing and psychology. The information designer deals mainly with content specific to the site or product, as well as working up user assistance tools. The visual designer is concerned with the aesthetics of the final product. 

Despite these differences, user-experience design boils down to the task of translating the requirements for a product's optimal functionality into interactive solutions. This entails the incorporation of market research and psychology, design of the human-computer interface for optimal effectiveness, inclusion of easily navigable content, and graphic design and finishing for maximum aesthetic appeal. 
",NULL,"<ul><li>Ideally 4+ years of experience in UX, Interaction Design and Usability</li><li>Design Education in UX, HCI, Interaction will be a big advantage</li><li>Good Communication skills is a must</li></ul>",2/22/2017 7:43,1/5/2018 9:52,NULL,1,1/4/2018 9:52,RapidValue,48,96,NULL,NULL,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Kochi
85,3D Visualizer,"We like to see before we believe. You will help us look into the future, see our interior spaces come alive in 3D before we create the space for real.

You will be a damn good 3D artist who will help bring our imagination into visual media. You will create looks for our website and you will also help in modeling furniture that we develop before we start our prototyping process.

Staying organized and creating a library of models and other props will be vital to help scale our 3D design team, and you will be the gate keeper.
",NULL,<ul><li>Minimum 2 years of experience in the 3D Visualization</li><li>Keen eye for good quality visual imagery</li><li>Ability to create high quality output in 3DS Max with Vray</li><li>Understanding of interior lighting in VRay</li></ul>,2/24/2017 12:04,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Creatomy,36,72,500000,900000,NULL,NULL,Interior Design$$$3D Visualization,Bengaluru
86,Interior Design,"The Design Room is looking for interior designers with a passion to create unique experiences for clients in their residential spaces. As an interior designer at The Design Room, designers need to understand the client brief, create designs based on customer preferences and site conditions and prepare dockets to handover to our execution teams.

Designers will be working with the design lead to deliver the highest quality design output, the project managers to execute projects seamlessly on site and the partners and suppliers to source the best products for the given space.

We are looking for go-getters who can handle a design project from start to finish and deliver the same to our clients with utmost customer satisfaction.
",NULL,"<ul><li>Minimum 2 years of experience in residential interior design</li><li>Strong understanding and demonstrated aptitude of design principles</li><li>No-compromise attitude towards quality</li><li>Highly proficiency in AutoCAD, Photoshop, Sketchup</li><li>Strong communication skills</li></ul>",2/24/2017 12:04,2/24/2017 12:04,NULL,1,NULL,Creatomy,24,120,500000,1200000,NULL,NULL,Interior Design$$$3D Visualization$$$Furniture Design,Bengaluru
87,Graphic Designer,"Graphic designers work with other members of their marketing and creative departments to visually convey a particular message, idea or concept. They rely on theirknowledge and proficiency with current graphic design programs to produce graphic artand visual materials for promotions, advertisements, websites, films, packaging andother mediums.

At Creatomy, we specialize in helping professionals within this industry, as well as relatedindustries, combine with great companies throughout the city of Bangalore.
",NULL,"<ul><li>Good knowledge of graphic design software and tools, including - </li><li>Adobe Illustrator</li><li>Adobe In Design</li><li>Adobe Photoshop</li><li>Understanding of the digital and printing process and specifications</li><li>Creative Visualization skills</li><li>1+ years of industry experience</li></ul>",2/24/2017 12:04,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Creatomy,24,36,400000,600000,NULL,NULL,Graphic Design$$$Branding$$$Illustration$$$Print Design$$$Editorial Design,Bengaluru
88,Head of Design,"<ul><li>Design is paramount to us so we’re looking for someone who can help us create a world-class SAAS product (think Stripe, Mixpanel, Github etc.) from a design perspective</li><li>Lead a team and ensure that their deliverables are of the highest quality and that they are proud of the product they have created</li><li>You’ll be driving the direction, style and methodology of UI and UX</li><li>You’ll take complete ownership of the design of the feature / product from inception to roll-out and iteration</li><li>You’ll be creating wireframes / hi-fi mocks / workflows of the product / feature which then would be picked up by the front-end engineering team for execution</li><li>You’ll be working directly the management and product during the product conceptualization stage</li><li>In all the work you do here, you have ensure that you follow a structured thought process for designing the product and also be ready to defend your ideas </li><li>You will be the voice of the customer and you should also be comfortable with conducting any user research to validate ideas.</li></ul>",NULL,"<ul><li>5+ years or more of hands-on experience with designing web and / or mobile applications</li><li>Great attention to detail</li><li>Believe in thorough research before starting the process of design</li><li>Follow a structured design process (think atomic design, style guide, design components etc.)</li><li>Hands-on experience with design tools (such as Photoshop, Sketch etc.)</li><li>Experience with designing SAAS products is a huge plus</li><li>Avid reader and updated with the latest and greatest in design on a regular basis</li></ul>",2/24/2017 12:04,1/5/2018 9:55,NULL,1,1/4/2018 9:55,Web Engage,72,120,NULL,NULL,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Mumbai
89,Product Designer,"<ul><li>Design is paramount to us so we’re looking for someone who can help us create a world-class SAAS product (think Stripe, Mixpanel, Github etc.)</li><li>You’ll take complete ownership of the design of the feature / product from inception to roll-out and iteration</li><li>You’ll be creating wireframes / hi-fi mocks / workflows of the product / feature which then would be picked up by the front-end engineering team for execution</li><li>You’ll be working directly the management and product during the product conceptualization stage</li><li>You have ensure that you follow a structured thought process for designing the product and also be ready to defend your ideas</li><li>You will be the voice of the customer and you should also be comfortable with conducting any user research to validate ideas.</li></ul>",NULL,"<ul><li>2+ years of hands-on experience with designing web and mobile applications</li><li>Great attention to detail</li><li>Believe in thorough research before starting the process of design</li><li>Follow a structured design process (think atomic design, style guide, design components etc.)</li><li>Hands-on experience with design tools (such as Photoshop, Sketch etc.)</li><li>Experience with designing SAAS products is a huge plus</li><li>Avid reader and updated with the latest and greatest in design on a regular basis</li></ul>",2/24/2017 12:04,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Web Engage,24,60,-1,-1,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Mumbai
90,UI Developer,<p>To work as a part of a team that will</p><ul><li>Build a scalable NativeScript-based platform</li><li>Manage and maintain an Ionic-based platform and features during transition to NativeScript</li><li>Build web-based user and admin interfaces</li></ul>,NULL,"<ul><li>Bachelor of Engineering OR Bachelor of Science</li><li>At least 2+ years of relevant experience</li><li>AngularJS (1,0,2.0), HTML, CSS, Typescript, XML, JSON. Working knowledge of WebRTC</li><li>NativeScript is a bonus.</li></ul>",3/4/2017 10:07,10/6/2017 7:18,NULL,1,10/5/2017 17:12,1Health,24,60,400000,800000,NULL,NULL,UI Development$$$Web Development,Mumbai
91,"Senior Visual Designer, Marketing","OYO is looking for designers to help support its experienced graphic design team for creating simple, engaging and extremely intuitive graphic designs. Whether it is innovative campaigns (marketing and others) or quirky social media posts or classy brochures, our graphic design team is dedicated to making sure everything that OYO launches looks and feels amazing.  ",NULL,"<p>YOU have…</p><ul><li>The imagination to sketch an idea, a concept, or a character</li><li>An eye for detail, vivid colors and pixel-perfection</li><li>A burning desire to work for an innovative startup and contribute to change</li><li>OYO is looking for YOU.</li><li>YOU - The Illustrator</li><li>YOU - The Digital Marketeer</li><li>YOU - The Communicator</li><li>YOU - The Hustler</li><li>4+ years of experience as a graphic designer</li><li>Experience in Adobe Photoshop, Illustrator,</li><li>Experience in animation, GIF, photo/video editing would be a plus</li><li>Experience in developing designs for both online and offline channels</li><li>An online portfolio or samples of work demonstrating the afore-mentioned experience</li></ul>",3/4/2017 10:07,1/5/2018 9:58,NULL,1,1/4/2018 9:58,OYO Rooms,36,72,NULL,NULL,-1,NULL,Graphic Design$$$Branding$$$Illustration$$$Motion Graphics,Gurgaon
92,Senior Visual Designer,"<p>We want to look pretty and be functional at the same time. As a visual designer at Grofers you will work closely with our core team to create interfaces that enable the best experience for our customers.</p><ul><li>Present the user interface visually so information is easy to read, easy to understand and easy to find</li><li>Create user-centered design principles to produce high-quality visuals from concept to execution across many platforms</li><li>Creating user interface and assets</li><li>Delight users with designs that inspire, engage and excite them</li><li>Weave iconography, typography, color, space and texture together to help our users successfully navigate our products</li><li>Take input/requirements from multiple stakeholders and turn those into multiple compelling design paths - then iterate through with the extended team to find the best direction.</li></ul>","<ul><li>Competitive salary and equity, based on experience</li><li>Laptop and peripherals of your choice</li><li>Working with a kick-ass team that is passionate about making our users’ life simpler</li><li>Creative freedom to experiment with your ideas</li></ul>","<ul><li>Designing visually stunning user interfaces</li><li>Solid background and knowledge of Sketch, Adobe Photoshop and/or Adobe frameworks</li><li>You will be expected to apply user-centered design processes to create high quality userexperiences, and reusable patterns and assets for various products</li><li>Must have advanced skills in Sketch or Photoshop or Illustrator</li><li>Must be detail oriented and will ensure each deliverable is of the highest standard</li><li>An existing portfolio that exhibits excellent use of typography, color, imagery and graphicelement.</li><li>Excellent problem-solving skills</li><li>Anything else that can surprise us.</li></ul>",3/10/2017 11:04,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Grofers,36,72,-1,-1,NULL,NULL,UI Design$$$Product Design$$$Mobile Design$$$Web Design,Gurgaon
93,Senior Product Designer,"We at Grofers aim to give our customers an experience next to none. The journey starts from giving our users a beautiful experience on their screens. We believe in making products which works as simple and beautifully as they look and feel. Great ideas come from great designers. If you are have a passion for solving problems, user experience and an ill placed pixel hurts your eyes, this might be a place for you!","<ul><li>Competitive salary and equity, based on experience</li><li>Laptop and peripherals of your choice</li><li>Working with a kick-ass team that is passionate about making our users’ life simpler</li><li>Creative freedom to experiment with your ideas</li></ul>","<ul><li>You can create engaging, functional and beautiful interfaces from low fidelitymockups to pixel perfect desigs</li><li>An existing portfolio that exhibits excellent use of design frameworks, userscenarios, typography, color, imagery and graphic elements. Extra points for user research</li><li>We do not micromanage. You should take complete ownership of your product.You must be self-motivated to prioritize and manage workload and meet criticalproject milestones and deadlines</li><li>Ability to come up with original ideas and have an excellent problem solvingskills</li><li>Have a strong empathy for the users and passion to know your users well andcreate functional, cohesive & usable design not for yourself but for them</li><li>Understanding of UI design frameworks, responsive design principles,typography, grid based systems</li><li>Deep understanding of concepts like Information architecture, user research,research methodologies, user scenarios etc</li><li>We believe in rolling out fast to break things faster. You should have an ability towork as a member of a fast-moving, multi-disciplinary team</li><li>Have a sense of humor and have a knack to simply things</li><li>Anything else that can surprise us</li><li>Bonus - Can whistle a Beatles song</li><li>Have experience designing interaction models that span multiple devices.</li></ul>",3/10/2017 11:04,1/5/2018 10:01,NULL,1,1/4/2018 10:01,Grofers,36,72,NULL,NULL,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Gurgaon
94,Visual Designer,"<p>As a Visual designer, you will work on VisualDesign solutions for multiple mobility business verticals.</p><ul><li>Understand wireframe interaction / layout and brand guidelines to deliver desirable visual experience</li><li>Conceptual thinking and working expertise in delivering visual design mood board, layouts, icons and asset creation</li><li>Expert level knowledge of visual design tools (Like Photoshop, Illustrator etc)</li><li>Strong written and verbal communication with the ability to present your work and rationale to the team</li><li>Skills to work autonomously under tight deadlines</li><li>Degree in visual communication, fine arts, UI design or relevant experience</li></ul>",NULL,<ul><li>Minimum 2 years of Visual Design experience</li><li>Working experience in Mobile UX and Responsive web</li><li>Basic HTML and CSS Understanding</li></ul>,3/27/2017 14:58,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Genpact Digital,24,48,800000,1200000,NULL,NULL,UI Design$$$Mobile Design$$$Web Design,Bengaluru
95,Lead Product Designer,"<p>We are looking for a “Sr. / Lead UI-UX Designer” to join the product team in Hyderabad</p><ul><li>Create wire-frames, storyboards, user flows, process flows, site maps and visual design skills with latest UI trends and techniques</li><li>Understand and manage the User experience of  mobile and web application</li></ul>",NULL,"<ul><li>Strong portfolio that demonstrates a high-level of proficiency in visual & interactive design for business applications</li><li>Have a solid understanding of embedded devices or mobile trends and technologies</li><li>Must possess solid hands-on experience with design tools including Photoshop, Illustrator, Fireworks, and Dreamweaver etc</li><li>Experience in Responsive Web Design required</li><li>Design amazing user experiences</li><li>Understand technologies - HTML/ XHTML/CSS</li><li>An eye for clean and artful design</li><li>Understand user-centered design process</li></ul>",3/29/2017 5:29,1/5/2018 10:02,NULL,1,1/4/2018 10:02,SMS Country,24,96,NULL,NULL,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Hyderabad
96,UI UX Designer,NULL,NULL,"<ul><li>Communication skill are essential</li><li>1+ years of user experience design for web and mobile applications which leverage emergent technologies, consumer electronics and/or mobile devices</li><li>Strong conceptualization ability and strong visual communication ability</li><li>Exceptional design skills</li><li>Rapidly develop flow, mocks, wireframes and interactive prototypes to prove UI features</li><li>Proficient with user interface design patterns</li><li>Good exposure with responsive design</li><li>Ability to think outside the box and develop creative solutions to complex technical and process problems. Work effectively both independently and as part of a team, self - motivated and deadline driven</li><li>Individuals must be able to deal with a highly demanding client base and set client expectations appropriately</li></ul>",4/1/2017 11:18,10/6/2017 7:18,NULL,1,10/5/2017 17:12,ToggleHead,12,24,300000,500000,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Mumbai
97,Communication / Graphic Designer,"<p>As a designer, ask yourself these questions: </p><ul><li>Would you enjoy working on multiple brands at the same time, solving their design challenge?</li><li>Are you looking to do something more than just follow briefs? </li><li>Looking forward to handling more responsibility and be recognized for it?</li><li>If the answer to all the questions above is a 'Yes', we're waiting to meet you. And hopefully, have you on board to be a part of our 'Core Team'! 
As a Graphic Designer or as we call it a “Story Artist”, your main responsibility would be to come up with a Concept for brands we are working with at Emporio M. 
Work would range from Brand Communication, Website Graphics, Social Media Marketing and Digital Banners for different brands.</li><li>Working with the Operations/Client Servicing Team and understanding client requirements </li><li>Building Concepts around client objectives and proposing it to the team internally followed by a presentation to the client</li><li>Planning and Executing the Design Aspects of a campaign with a team of designers working with you. You will be coordinating with them to work on your briefs and deliver accordingly</li><li>Coming up with Design Related revenue generation possibilities for the firm and contributing to its growth within this segment</li></ul>",NULL,"<ul><li>Be creative, ambitious and highly motivated</li><li>Sound knowledge of software such as Adobe Photoshop, In-Design, Illustrator and other design softwares. Additional knowledge of HTML/JavaScript would be an added advantage</li><li>Prior experience of working on Digital Mediums for brands would be given supreme importance</li><li>Design experience into working with B2C brands especially Fashion, Lifestyle & Hospitality brands will be given preference</li><li>Previous working experience with Advertising/Marketing Agencies will be considered carefully</li><li>Residing in Noida, Greater Noida, Ghaziabad, East Delhi, South Delhi will assume priority</li></ul>",4/1/2017 11:18,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Emporio Marketing,12,36,300000,500000,NULL,NULL,Graphic Design$$$Branding$$$Illustration$$$Web Design,Delhi
98,"Image Editor, Catalog Team","As anImage Editor, you will be responsible for applying Treebo brand guidelines to images published online on our Direct as well as partner sites. This role will be a part of the Catalog Team.","Talented and motivated co-workers in a fun office environment
Flexible Work options
Never have a boring Day!
Competitive Salary
Create clutter-breaking designs for a much loved brand
Unlimited vacation policy; work hard and take time when you need it","<ul><li>Have proven experience as a photo editor with an excellent portfolio</li><li>Have knowledge of photography and photographic techniques.</li><li>Be an expert at PhotoShop and other relevant photo editing software</li><li>Understand brand guidelines and be able to translate that into images</li><li>Have an eye for detail, and be a stickler for high quality</li><li>Be comfortable working with deadlines without sacrificing quality</li></ul>",4/7/2017 10:08,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Treebo Hotels,12,48,400000,600000,NULL,NULL,Image Editing / Retouching,Bengaluru
99,Senior Graphic Designer,"<p>We are looking for a highly Creative Designer, who understands designing for corporate sales, branding, marketing – Offline, Outdoors and Digital. The person will be solely responsible for driving the Brand guidelines across a large set of Business Development and marketing activities. As the Creative Designer, you will be working on the following:</p><ul><li>Illustrations and Art works for Brand Associations</li><li>Corporate and powerpoint presentations for use by internal and external stakeholders</li><li>Logos, Info-graphics and Social Media posts</li><li>Create strategically sound ideas and concepts in line with the business objectives and goals and articulate the same to others through presentations and discussions</li><li>A good team player, team leader and think tank</li></ul>",NULL,"<ul><li>At least 2 years of experience with Graphic and Communication Design</li><li>Extensive digital experience. Design experience for offline channels is a plus</li><li>Graduate, BFA will be a plus</li><li>Should be well versed in requisite Adobe Suite tools</li></ul>",4/8/2017 8:50,1/5/2018 10:07,NULL,1,1/4/2018 10:07,Cornerstone Sports,24,60,500000,1000000,NULL,NULL,Graphic Design$$$Branding$$$Illustration$$$Web Design,Mumbai
100,Creative Director,"<p>As the Creative Director at Coins, you will spearhead the design team to deliver exhilarating online and offline campaigns that are run at a multi-national level.You will need to ensure that our designs meet the highest quality standard, deliver the brand promise effectively, and creatively capture our audience's mind-share. You will be working with a team of passionate designers, web developers and marketing professionals, and lead the entire lifecycle of our creative messaging and branding process, including strategy, conceptualization, design and implementation.Whether it is getting the brand tone right or developing expansive/innovative campaigns or designing classy brochures, the creative design team is dedicated to making sure everything that Coins publishes, looks and feels amazing.</p><ul><li>Creating engaging concepts and mesmerizing designs to create the highest level of connect with the target groups</li><li>Inspiring creativity throughout all design work</li><li>Recruiting, leading and managing the design team. Scheduling and prioritizing their queues.</li><li>Ensuring that the working processes (planning, documentation, etc) are run efficiently</li><li>Identifying and working with specialized international and local agencies</li></ul>",NULL,"<ul><li>Have 8+ years of experience working with an advertising agency, Design Studios, or a Brand Creative Head, with a minimum of 3 years managing a team of graphics/visual designers and leading visual design development for a consumer oriented design environment</li><li>Is good at managing multiple activities & projects</li><li>More of Ad and Visual Conceptualization</li><li>Experience in Print, Outdoor, Websites and Social Media, and creating Brand Identity</li><li>Comfort working in a chaotic, fast paced, dynamic environment with quick pivoting</li><li>The experience and/or understanding of how to create a visual identity from scratch</li><li>Great understanding of consumers and how to build a strong connect with them</li><li>Experience working with cross-functional business teams; strong grasp of understanding business requirements and translating to visual identity</li><li>Experience in project/team management</li></ul>",4/10/2017 10:18,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Coins.ph,120,180,-1,-1,NULL,NULL,Creative Direction$$$Art Direction$$$Branding,Manila
101,Creative Director,"<p>If you've grown up in advertising or brand creative and looking to try something new in one of India's fastest growing brands, this is your opportunity</p><ul><li>Are you ready to lead and inspire creative directors, art directors, copywriters and UX designers with the ability to work across channels and new media with big thinking and a passion for your craft? </li><li>Can you lead and inspire a creative team on big ideas and strategic brand development, advertising creative, and e-commerce retail experiences? </li><li>Can you develop a vision, quickly bring concepts to life as prototypes, then iterate and refine them as you gather and factor in customer and business requirements? </li><li>Can you pitch ideas, promote collaboration, and work within the ambiguity of a startup environment? </li><li>Are you skilled at identifying problems and setting your team toward solving them? </li><li>Develop, inspire and build the team within Amazon’s internal agency to deliver creative breakthrough campaigns, content, and user experiences</li><li>Establish and foster a culture that enables world-class creative development</li><li>Effectively develop cross functional relationships with product, consumer research and marketing teams to develop ad strategy and consumer insights that drive compelling creative executions</li><li>Lead creative development for key initiatives across channels</li><li>Deep understanding of digital, new media, and social</li><li>Lead creative development of innovative advertising, from concept to delivery</li><li>Develop ideas that will deploy across Amazon businesses globally</li><li>Own, develop and evangelize brand personality and purpose globally</li><li>Quickly develop concept mockups to visualize new ideas in context</li><li>Present creative concepts effectively to senior executives</li></ul>",NULL,"You have a deep portfolio that demonstrates creative excellence in bringing major brands and products to life. This role is for a highly capable creative leader who can direct internal and external creative resources, and has the composure and communication skill to effectively present to Senior Leadership.",4/10/2017 10:18,9/12/2017 8:39,NULL,1,9/11/2017 17:12,Amazon,120,180,-1,-1,NULL,NULL,Creative Direction$$$Art Direction$$$Branding,Bengaluru
102,Senior UX Designer,"<p>Your primary focus will be to create elegant and customer-focused designs that provide a superior retail experience working in close collaboration with business, product, technology, and design teams across international locations.

You will get the opportunity to own comprehensive end-to-end experiences, work across Amazon services and infrastructure yet provide locally relevant presentations of expansive content and functionality across a manifold of product lines, client devices, and locales.
</p><ul><li>Design a superior shopping experience</li><li>Define and achieve holistic product objectives</li><li>Collaborate with cross-functional teams like product managers, developers, and designers</li><li>Develop and provide thought leadership in the retail user experience across devices</li><li>Leverage available insights like market analysis, customer feedback, site metrics, and usability findings</li><li>Advocate for the customer and user-centered design in a corporate environment</li><li>Develop conceptual diagrams, wireframes, detailed visual mockups and prototypes</li><li>Communicate high-level design strategies and detailed interaction behaviors</li><li>Develop and maintain effective specifications and design patterns</li><li>Provide mentorship for designers and interns</li></ul>",NULL,"<ul><li>Rich experience in Interface Design, Interaction Design, or Information Architecture</li><li>A strong portfolio demonstrating past work experience and relevant, user-centered design solutions</li><li>An innate capacity for creating engaging, highly usable designs and layouts</li><li>Experience with designing end-user, web-based applications</li><li>Fluency in best practices for Information Architecture and Interaction Design</li><li>Ability to quickly turn around rigorous wireframes and mockups in an iterative environment</li><li>The ability to provide detailed specifications and/or optimized HTML and CSS prototypes for our Developers and Engineers to work from</li><li>A general understanding of how Design impacts Development (and vice versa), along with a knack for constructing dynamic, interactive designs that are technically feasible/prudent</li><li>A strong awareness of common Usability methods and principles</li><li>A lucid sense for how individual components and features impact their larger applications, and how to optimize accordingly</li><li>Excellent communication, presentation, interpersonal and analytical skills; the ability to communicate complex, interactive design concepts clearly and persuasively across different audiences and varying levels of the organization</li><li>The ability to manage ambiguity, work autonomously, and multi-task in an agile environment</li><li>Effectiveness in working across organizational boundaries to define, manage, and prioritize work</li><li>A clean sense of design aesthetics, and a natural propensity towards simplification over complication</li><li>An aptitude and honed intuition for tasteful, visual design details</li><li>An enduring sense of humor</li><li>Ability and passion to design for a foreign context</li><li>Bonus for : - </li><li>Ability to prototype with HTML, JavaScript, and CSS</li><li>Retail/E-commerce design experience in a global context</li><li>Experience working with international teams</li></ul>",4/10/2017 10:18,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Amazon,48,144,-1,-1,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Bengaluru
103,Senior UX Designer,"<p>As a Senior UX designer, you will</p><ul><li>Design and deliver compelling, elegant, pleasurable and sophisticated end-to-end user experience solutions</li><li>Assess & define customer needs , deliver concepts, prioritize features</li><li>Consider and leverage all available insights including market analysis, customer feedback, site metrics, and usability findings in all design activities.</li><li>Develop and provide thought leadership in the architecture of near and long term user experience visions for features and product lines across applicable devices</li><li>Responsibly and effectively advocate for the customer in a corporate environment; fostering a shared understanding of the customer-centric intersection between design, content, business and marketing values.</li><li>Providing analytical and creative ideas to a design engagement, present & evaluate prototypes</li><li>Validate user experience feedback</li></ul>",NULL,"<ul><li>Minimum 3+ years of Product Design experience</li><li>Key Skills – UX Design, Interaction Design, Usability, Visual Design, Information Architecture and Wireframes</li><li>A strong portfolio – Of both Mobile and Web Designs</li></ul>",4/11/2017 12:16,10/6/2017 7:18,NULL,1,10/5/2017 17:12,StyFi,48,84,800000,1200000,NULL,NULL,UX Design$$$Interaction Design$$$Product Design$$$Mobile Design$$$Web Design,Mumbai
104,SFX Artist,"We are looking to hire an exceptionally passionate and fun loving bunch of Sound Engineers, SFX Artist and Sound Designers – a bunch of creators who have an aptitude for science and art; scientific thinking and design thinking. A workplace thriving on young energy, on mentorship, craziness, drive and commitment to making a difference, this is what we could open for you.",NULL,"<ul><li>Should have experience in composing musical score suitable for K12, jingles and rhymes for kids in different genres</li><li>Game sounds/SFX/Sound Design</li><li>Should have experience in recording voice over, field recording and recording musical instruments</li><li>Should know music theory and play at least one instrument</li><li>Should be familiar and experienced in composing music in any genres</li><li>Complete knowledge of Logic including SMPTE/video sync,freezing, organizing, and STEMS</li><li>It is an add-on if you have worked on short films. (Knowledge about different file formats and work flow)</li><li>Quick Delivery of projects being the highest priority, a quick, organized workflow and being handy with the shortcuts of the software is an advantage</li><li>A good attitude towards work</li><li>Knowledge and experience using synthesizers</li></ul>",4/12/2017 10:02,10/6/2017 7:18,NULL,1,10/5/2017 17:12,BYJU'S App,12,36,400000,600000,-1,NULL,Sound Design (SFX),Bengaluru
105,Graphic Designer,"<p>As a Graphic Designer, you will be responsible for delivering clutter-breaking online and offline campaigns with the marketing team. Working closely with the creative head, the social media manager and the rest of the marketing team, you will bring our creative communication and marketing campaigns alive.</p><ul><li>Creation and adaptations of all marketing creative requirements</li><li>Design eye-catching web and mobile banners for display ad campaigns</li><li>Email design, banner ads, social media creative, Outdoor Marketing</li><li>Print - brochures, pamphlets, posters, out of home media</li><li>Outdoor - Design marketing collateral for Outdoor Advertisements, billboards and Contests</li><li>Exploring smart ways of delivering communication to our target audience</li><li>Should be inclined to understand marketing concepts, creative design, target audience etc</li><li>Translate written ad briefs or wireframes into finished ads, ready to be uploaded to ad networks</li></ul>",NULL,"<ul><li>2+ years of experience with Communication or Graphic design</li><li>Be pro-active and able to show initiative/ideas to constantly engage with target users</li><li>Comfortable is managing multiple projects simultaneously</li><li>Must have experience working with Social Media, Google Ads, Emailers and Print Designs</li><li>Must have in-depth experience in creating designs that appeals to a digitally native audience across social platforms, Google, websites, email communication and other digital mediums</li><li>Illustration skills is a plus</li><li>Excellent communicator (written and verbal, formal and informal)</li></ul>",4/13/2017 7:33,10/6/2017 7:18,NULL,1,10/5/2017 17:12,Coins.ph,24,72,-1,-1,-1,NULL,Graphic Design$$$Branding$$$Illustration$$$Print Design,Manila
106,Communications Designer,"We are obsessed about design. It’s not just about the product but about each and every element we create for brand Ather. For us, a great design is a significant part of the multitude of things that come together to offer a great experience. Be it on the product or an interaction with any of our touch points.

While your short term responsibilities will be to create effective design solutions for all marketing and brand related requirements, the long term game is about helping build a creative lab within Ather, which will go on to create the most innovative ideas for the brand. Just some of the other things you would be working on will include website, mobile apps, experience center design and merchandise. 
",NULL,"<ul><li>Have at least 2 years of experience as a freelancer or experienced graphic designer currently working at one of the finest advertising agencies or boutique design studios in the country</li><li>Work experience with a leading advertising agency/mid-sized agency/branding firm or a big Product brand</li><li>Have an exceptional design aptitude</li><li>Have a strong viewpoint on design and communication in general, ability to create effective design solutions and the courage to question the norm</li><li>Have good photography and videography skills are necessary and will be a key responsibility</li><li>General frustration of making the logo bigger 10 times in a day, changing fonts according to client’s preference, creating contest posters and the desperation to add will add</li><li>Share a love for automobiles or engineering products</li></ul>",4/17/2017 8:08,1/5/2018 10:03,NULL,1,1/4/2018 10:03,Ather Energy,24,60,600000,1200000,NULL,NULL,Graphic Design$$$Branding$$$Illustration$$$Print Design$$$Art Direction,Bangalore
