title,maxexp,company,cities,maxcompensation
Visual Designer,84,Wekancode Technologies,Chennai,900000
Web Developer,108,Uneecops Technologies,Noida,900000
AndroidDeveloper,48,Canvass,Mumbai,800000
Sr. Graphic Designer,60,ABOF,Bengaluru,800000
UI UX Developer,48,RentTickle,Delhi,800000
UI Developer,60,1Health,Mumbai,800000
Web - Graphic Designer,48, Nearbuy,Bangalore,800000
Senior Graphic Designer,60,Sociowash,Delhi,800000
Graphic Designer,36, Nearbuy,Bangalore,800000
Web Developer,72,Nerdy Turtlez,Delhi,800000
Senior Graphic Designer,36,BuyHatke,Bengaluru,800000
Graphic Designer,36,IndiaMart,Noida,800000
Front-End Developer,36,IndiaMart,Noida,800000
Senior UI Designer,72,KiwiTech,Noida,800000
Lead Editor,96,Hopscotch,Mumbai,800000
Digital Designer,72,Darwinbox Digital Solutions Pvt Ltd,Hyderabad,800000
UI Designer,36,RentTickle,Delhi,700000
Art Director,72,Creative Factor,Bengaluru,700000
Graphic Designer,48,RedBaton,Bangalore,700000
Senior Graphic Designer,36,Darwin Labs,Gurgaon,700000
UI Developer,60,BitStreet Technologies,Mumbai,700000
Visual Communication Designer,36,Enabling Dimensions,Gurgaon,700000
HTML Developer,48,Edureka,Bengaluru,700000
Android developer,84,Boom Boom Hunt,Pune,700000
UI/UX Senior Desinger,60,Marching Ants Marketing LLP,Bengaluru,700000
Senior Front-End Developer,60,Humaeck,Delhi,700000
Graphic Designer,36,Edureka,Bengaluru,600000
3D Visualizer,72,The Design Room,Bengaluru,600000
Graphic Designer,36,The Man Company,Gurgaon,600000
UI Developer,48,Canvass,Mumbai,600000
Graphic Designer,36,Creatomy,Bengaluru,600000
"Image Editor, Catalog Team",48,Treebo Hotels,Bengaluru,600000
SFX Artist,36,BYJU'S App,Bengaluru,600000
Senior Art Director,60,Creative Factor,Delhi,600000
Graphic Designer,36,Coffee Day,Bangalore,600000
UI / UX Designer,24,Designaren,Mumbai,600000
Graphic Designer,36,Social Panga,Bengaluru,600000
UX Designer,60,Pebels LLP,Bengaluru,600000
Product Designer,180,Shortcastle Technologies,Chennai,600000
Senior art director/designer,60,Merry Men,Mumbai,600000
Graphic Designer,84,Creative Sprout Media,Hyderabad,600000
Video Editor,84,Creative Sprout Media,Hyderabad,600000
Game UI Designer,120,Paper Boat Apps,Mumbai,600000
2D Cartoon Illustrator,96,Paper Boat Apps,Mumbai,600000
UI/UX Designer,36,3 Minds Digital,Mumbai,550000
UI UX Designer,24,ToggleHead,Mumbai,500000
Communication / Graphic Designer,36,Emporio Marketing,Delhi,500000
Web Developer,24,Sociowash,Delhi,500000
Visualizer,48,STIR,Bengaluru,500000
Graphic and Visual Designer,72,Medongo,Bengaluru,500000
3D Visualiser,48,STIR,Bengaluru,500000
Visualizer,36,STIR,Bengaluru,500000
UI/UX Designer,36,STIR,Bengaluru,500000
Product Designer,24,Referworthy,Hyderabad,500000
Flash Animator,96,Paper Boat Apps,Mumbai,500000
UI/UX Designer,60,Mosaic ITES Services,Noida,480000
Creative UI/UX Designer,36,3 Minds Digital,Mumbai,450000
Communication / Graphic Designer,60,The Neat Trick,Delhi,420000
UIUX Designer,24,DTALE Design Studio,Bengaluru,420000
Video Editor,36,Edureka,Bengaluru,400000
Graphic Designer,36,Kormoan,Delhi,400000
Creative Designer,36,Love This Stuff,Bengaluru,400000
UI Designer,24,Algo Engines,Navi Mumbai,400000
Junior Art Director,12,DTALE Design Studio,Bengaluru,360000
UI Developer,24,DTALE Design Studio,Bengaluru,360000
Junior Art Director,12,DTALE Design Studio,Bengaluru,360000
Testing,36,Crewkarma Testing,Bengaluru,350000
Graphic Designer,36,Appilyever,Hyderabad,300000
Graphic Designer / Visualiser,48,The Cheery,Ahmedabad,250000
Creative Sticker(Banner) Design,36,SPEF,Thiruvananthapuram,240000
graphic designer,24,Sushil Shandilya Consulting,Bengaluru,200000
Design Executive,24,Digital Republik,Mumbai,200000
UI Design Intern,12,DTALE Design Studio,Bengaluru,180000
Product Designer,48,Edureka,Bengaluro,100000
