company,1,2,3,4,5,6,7,8,9,10,11,12,13,14,maxcompensation
Pensaar Designs,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"2,271,672.00"
Cisco,0,0,1,0,0,0,0,0,0,0,0,0,0,84,"2,695,078.00"
Creative Sprout Media,0,0,0,0,0,0,1,0,0,0,0,0,0,180,"3,413,976.00"
MoEngage,0,0,1,0,0,0,0,0,0,0,0,0,0,84,"219,913.00"
IndiaMart,0,0,0,0,0,0,0,0,0,0,1,0,0,48,"266,890.00"
RentoMojo,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"2,483,032.00"
Above Solutions,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"3,409,082.00"
Robosoft Technologies,0,0,0,0,0,0,0,0,1,0,0,0,0,60,"2,366,529.00"
Gramener,0,0,1,0,0,0,0,0,0,0,0,0,0,96,"1,058,769.00"
myPAT,0,0,0,0,1,0,0,0,0,0,0,0,0,72,"1,638,053.00"
AICL Communications,0,0,0,0,1,0,0,0,0,0,0,0,0,60,"2,314,943.00"
AICL Communications,0,0,0,0,0,0,0,0,1,0,0,0,0,84,"568,631.00"
AICL Communications,0,0,0,0,0,0,0,1,0,0,0,0,0,36,"802,432.00"
BYJU'S App,0,0,0,0,0,0,0,1,0,0,0,0,0,84,"1,306,609.00"
Healthi.in,0,0,1,0,0,0,0,0,0,0,0,0,0,96,"1,005,838.00"
No Broker,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"3,639,105.00"
Ather Energy,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"1,656,744.00"
No Broker,1,0,0,0,0,0,0,0,0,0,0,0,0,60,"968,391.00"
ChargeBee,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"2,928,813.00"
Travel Triangle,0,0,0,1,0,0,0,0,0,0,0,0,0,96,"2,177,213.00"
Get My Parking,0,0,0,0,0,1,0,0,0,0,0,0,0,60,"3,582,092.00"
Finovera,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"1,709,889.00"
Hopscotch,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"2,012,332.00"
Yorke Communications,0,0,0,0,0,0,0,0,1,0,0,0,0,72,"1,693,068.00"
MedTrail,0,0,1,0,0,0,0,0,0,0,0,0,0,108,"3,032,837.00"
Excellon Software,0,0,0,0,1,0,0,0,0,0,0,0,0,48,"2,382,869.00"
FarmGuide,0,0,0,0,0,0,0,0,0,0,0,1,0,108,"1,502,754.00"
GrabOnRent,0,0,0,0,0,1,0,0,0,0,0,0,0,60,"2,310,553.00"
Genpact Digital,0,0,1,0,0,0,0,0,0,0,0,0,0,96,"1,412,582.00"
Third I,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"3,666,965.00"
HDFC Red,0,0,0,0,0,0,0,0,0,0,0,1,0,72,"877,707.00"
Creatomy,0,0,0,0,0,0,0,0,1,0,0,0,0,48,"3,347,175.00"
Genpact Digital,0,0,1,0,0,0,0,0,0,0,0,0,0,120,"3,744,978.00"
StyFi,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"3,330,538.00"
Ather Energy,0,0,0,0,0,0,0,0,1,0,0,0,0,84,"1,865,725.00"
The Luxury Closet,1,0,0,0,0,0,0,0,0,0,0,0,0,60,"1,433,213.00"
Wingify,0,0,0,0,1,0,0,0,0,0,0,0,0,48,"2,527,180.00"
Wingify,0,0,0,0,0,0,0,0,0,0,0,1,0,60,"2,769,755.00"
Gravity Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,60,"2,530,549.00"
LimeTray,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"507,166.00"
MedTrail,0,0,0,0,1,0,0,0,0,0,0,0,0,36,"2,457,687.00"
Hopscotch,0,0,0,0,1,0,0,0,0,0,0,0,0,48,"2,020,197.00"
AgroStar,0,0,0,0,0,0,0,0,1,0,0,0,0,72,"1,668,181.00"
testing in prod,0,0,0,0,0,0,0,0,0,0,0,1,0,96,"2,115,595.00"
orcaso,0,0,1,0,0,0,0,0,0,0,0,0,0,84,"512,101.00"
The Design Room,0,0,0,1,0,0,0,0,0,0,0,0,0,24,"3,344,265.00"
Healthi.in,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"2,982,888.00"
Think Design,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"1,727,575.00"
Think Design,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"3,343,696.00"
VideoKen,0,0,0,0,0,0,1,0,0,0,0,0,0,60,"3,832,747.00"
 Nearbuy,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"2,683,967.00"
Cornerstone Sports,0,0,0,0,0,1,0,0,0,0,0,0,0,48,"1,835,796.00"
CoHere Med,0,0,0,0,0,0,0,0,1,0,0,0,0,60,"1,780,761.00"
Radix @ Directi,1,0,0,0,0,0,0,0,0,0,0,0,0,60,"1,123,993.00"
Finovera,0,0,0,0,0,0,0,0,1,0,0,0,0,36,"783,864.00"
Gravity Consulting,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"1,937,805.00"
BYJU'S App,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"1,235,849.00"
Integrated 360365,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"726,772.00"
Think Design,0,0,0,0,0,0,0,0,1,0,0,0,0,72,"1,276,639.00"
Think Design,0,0,0,0,0,0,0,0,1,0,0,0,0,48,"2,704,512.00"
Creatomy,0,0,0,0,0,0,0,0,1,0,0,0,0,96,"1,988,781.00"
RedBaton,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"736,389.00"
Get Foolish,1,0,0,0,0,0,0,0,0,0,0,0,0,72,"195,624.00"
Mindler,0,0,0,0,0,1,0,0,0,0,0,0,0,96,"3,836,370.00"
Design Brewery,0,0,0,0,1,0,0,0,0,0,0,0,0,60,"1,322,790.00"
Wekancode Technologies,0,0,0,0,0,1,0,0,0,0,0,0,0,120,"2,475,043.00"
Uneecops Technologies,0,0,0,1,0,0,0,0,0,0,0,0,0,84,"3,749,679.00"
Canvass,0,0,0,0,0,0,0,0,0,0,1,0,0,108,"626,112.00"
ABOF,0,0,0,0,0,0,0,0,1,0,0,0,0,48,"980,682.00"
RentTickle,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"1,272,062.00"
1Health,0,0,0,0,1,0,0,0,0,0,0,0,0,48,"2,456,939.00"
 Nearbuy,0,0,0,0,0,0,0,0,1,0,0,0,0,60,"670,456.00"
Sociowash,1,0,0,0,0,0,0,0,0,0,0,0,0,48,"1,584,730.00"
 Nearbuy,0,0,0,0,1,0,0,0,0,0,0,0,0,60,"3,401,831.00"
Nerdy Turtlez,1,0,0,0,0,0,0,0,0,0,0,0,0,36,"2,025,875.00"
BuyHatke,0,0,0,0,1,0,0,0,0,0,0,0,0,72,"2,912,471.00"
IndiaMart,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"269,493.00"
IndiaMart,0,0,0,0,0,0,0,0,0,0,1,0,0,36,"3,060,101.00"
KiwiTech,0,0,0,0,0,0,0,0,0,0,1,0,0,36,"3,073,493.00"
Hopscotch,0,0,0,0,0,0,0,0,0,0,1,0,0,72,"1,801,373.00"
Darwinbox Digital Solutions Pvt Ltd,0,0,0,0,0,0,0,0,1,0,0,0,0,96,"2,062,641.00"
RentTickle,0,0,0,0,0,0,1,0,0,0,0,0,0,72,"1,398,369.00"
Creative Factor,0,0,0,0,1,0,0,0,0,0,0,0,0,36,"3,986,249.00"
RedBaton,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"259,767.00"
Darwin Labs,1,0,0,0,0,0,0,0,0,0,0,0,0,48,"3,852,696.00"
BitStreet Technologies,0,0,0,0,0,1,0,0,0,0,0,0,0,36,"1,618,233.00"
Enabling Dimensions,0,0,0,0,0,0,0,0,1,0,0,0,0,60,"355,342.00"
Edureka,0,0,0,0,0,1,0,0,0,0,0,0,0,36,"2,915,518.00"
Boom Boom Hunt,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"371,940.00"
Marching Ants Marketing LLP,0,0,0,0,0,0,0,0,0,0,0,1,0,84,"3,739,079.00"
Humaeck,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"662,648.00"
Edureka,0,0,0,0,1,0,0,0,0,0,0,0,0,60,"3,961,158.00"
The Design Room,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"1,940,010.00"
The Man Company,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"3,347,938.00"
Canvass,0,0,0,0,0,1,0,0,0,0,0,0,0,36,"915,075.00"
Creatomy,0,0,0,0,0,0,0,0,1,0,0,0,0,48,"377,838.00"
Treebo Hotels,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"1,927,718.00"
BYJU'S App,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"3,592,755.00"
Creative Factor,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"2,642,592.00"
Coffee Day,0,0,0,0,1,0,0,0,0,0,0,0,0,60,"682,758.00"
Designaren,1,0,0,0,0,0,0,0,0,0,0,0,0,36,"734,457.00"
Social Panga,0,0,0,0,0,0,0,0,1,0,0,0,0,24,"2,531,203.00"
Pebels LLP,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"3,280,794.00"
Shortcastle Technologies,0,0,1,0,0,0,0,0,0,0,0,0,0,60,"2,254,992.00"
Merry Men,0,0,0,1,0,0,0,0,0,0,0,0,0,180,"3,940,022.00"
Creative Sprout Media,0,0,0,0,0,0,0,0,1,0,0,0,0,60,"999,440.00"
Creative Sprout Media,0,0,0,0,0,0,1,0,0,0,0,0,0,84,"1,070,128.00"
Paper Boat Apps,0,0,0,0,0,0,1,0,0,0,0,0,0,84,"184,326.00"
Paper Boat Apps,0,0,0,0,0,0,0,0,1,0,0,0,0,120,"963,169.00"
3 Minds Digital,0,0,0,0,0,0,0,0,1,0,0,0,0,96,"2,221,102.00"
ToggleHead,0,0,0,0,0,0,0,0,1,0,0,0,0,36,"162,681.00"
Emporio Marketing,0,0,0,0,0,0,0,0,1,0,0,0,0,24,"2,934,816.00"
Sociowash,0,0,0,0,1,0,0,0,0,0,0,0,0,36,"2,034,075.00"
STIR,0,0,0,0,1,0,0,0,0,0,0,0,0,24,"1,015,934.00"
Medongo,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"2,488,165.00"
STIR,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"1,287,392.00"
STIR,0,0,1,0,0,0,0,0,0,0,0,0,0,48,"3,391,975.00"
STIR,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"1,887,835.00"
Referworthy,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"2,732,388.00"
Paper Boat Apps,0,0,0,0,0,0,1,0,0,0,0,0,0,24,"3,452,191.00"
Mosaic ITES Services,0,0,0,0,0,0,0,0,1,0,0,0,0,96,"3,483,442.00"
3 Minds Digital,0,0,0,0,0,0,0,0,0,0,1,0,0,60,"3,163,418.00"
The Neat Trick,0,0,0,0,0,0,0,0,1,0,0,0,0,36,"2,542,934.00"
DTALE Design Studio,0,0,0,0,1,0,0,0,0,0,0,0,0,60,"2,723,767.00"
Edureka,0,0,1,0,0,0,0,0,0,0,0,0,0,24,"3,895,356.00"
Kormoan,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"1,250,527.00"
Love This Stuff,0,0,0,0,1,0,0,0,0,0,0,0,0,36,"1,363,547.00"
Algo Engines,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"3,941,683.00"
DTALE Design Studio,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"1,469,679.00"
DTALE Design Studio,0,0,1,0,0,0,0,0,0,0,0,0,0,12,"2,149,005.00"
DTALE Design Studio,0,0,1,0,0,0,0,0,0,0,0,0,0,24,"3,418,245.00"
Crewkarma Testing,0,0,1,0,0,0,0,0,0,0,0,0,0,12,"3,970,269.00"
Appilyever,0,0,1,0,0,0,0,0,0,0,0,0,0,36,"2,219,270.00"
The Cheery,0,0,0,0,0,0,1,0,0,0,0,0,0,36,"615,598.00"
SPEF,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"2,086,278.00"
Sushil Shandilya Consulting,0,0,0,0,0,0,0,0,0,0,0,0,1,36,"3,003,708.00"
Digital Republik,0,0,1,0,0,0,0,0,0,0,0,0,0,24,"1,368,375.00"
DTALE Design Studio,0,0,0,0,0,0,0,0,1,0,0,0,0,24,"1,621,790.00"
Edureka,0,0,1,0,0,0,0,0,0,0,0,0,0,12,"3,501,696.00"
,0,1,0,0,0,0,0,0,0,0,0,0,0,48,
